序号,车型,车数,天数,目的地,距离_km,行驶费,时间费,单次总费
275,7.6,1,1,南京市江宁区秣陵街道殷华街47,235.38,564.91,1182.1,1747.01
276,7.6,1,1,南京市江宁区秣陵街道殷华街47,235.38,564.91,1182.1,1747.01
277,7.6,1,1,浙江省温州经济开发区滨海十九路42,576.56,1383.74,1182.1,2565.84
278,7.6,1,1,瓯海区潘桥街道仙门村浙江大好大食品有限公司楼（D幢）1-5层,545.26,1308.62,1182.1,2490.72
279,7.6,1,1,瓯海区潘桥街道仙门村浙江大好大食品有限公司楼（D幢）1-5层,545.26,1308.62,1182.1,2490.72
280,7.6,1,1,浙江省临海市汇丰南路29,423.18,1015.63,1182.1,2197.73
281,7.6,1,1,浙江省临海市汇丰南路29,423.18,1015.63,1182.1,2197.73
282,7.6,1,1,慈溪市古塘街道科技路56,248.35,596.04,1182.1,1778.14
283,7.6,1,1,郑州市商都路与明理路交叉口西南角,822.29,1973.5,1182.1,3155.6
284,7.6,1,1,郑州市商都路与明理路交叉口西南角,822.29,1973.5,1182.1,3155.6
285,7.6,1,2,郑州市管城区金岱工业园鼎尚街1,820.58,1969.39,2364.2,4333.59
286,7.6,1,2,郑州经济技术开发区第九大街8,822.57,1974.17,2364.2,4338.37
287,7.6,1,2,郑州经济技术开发区第九大街8,822.57,1974.17,2364.2,4338.37
288,7.6,1,2,郑州经济技术开发区第九大街8,822.57,1974.17,2364.2,4338.37
289,7.6,1,2,郑州经济技术开发区第九大街8,822.57,1974.17,2364.2,4338.37
290,7.6,1,2,郑州经济技术开发区第九大街8,822.57,1974.17,2364.2,4338.37
291,7.6,1,1,天津市北辰区科技园区泾河道,986.7,2368.08,1182.1,3550.18
292,7.6,2,1,天津市空港物流加工区东八道5,970.71,2329.7,1182.1,7023.61
293,7.6,1,1,天津市空港物流加工区东八道5,970.71,2329.7,1182.1,3511.8
294,7.6,1,1,天津市空港物流加工区东八道5,970.71,2329.7,1182.1,3511.8
295,7.6,1,1,天津市空港物流加工区东八道5,970.71,2329.7,1182.1,3511.8
296,7.6,1,1,济南市槐荫区美里路108,741.7,1780.08,1182.1,2962.18
297,7.6,1,1,潍坊市健康东街甲19,620.52,1489.25,1182.1,2671.35
298,7.6,1,1,潍坊市健康东街甲19,620.52,1489.25,1182.1,2671.35
299,7.6,1,1,潍坊市健康东街甲19,620.52,1489.25,1182.1,2671.35
300,7.6,1,1,潍坊市健康东街甲19,620.52,1489.25,1182.1,2671.35
301,7.6,1,1,郑州市货站街14,825.16,1980.38,1182.1,3162.48
302,7.6,1,1,郑州市货站街14,825.16,1980.38,1182.1,3162.48
303,7.6,1,1,郑州市货站街14,825.16,1980.38,1182.1,3162.48
304,7.6,1,1,郑州市货站街14,825.16,1980.38,1182.1,3162.48
305,7.6,1,2,陕西汉中客车有限公司二车间,1502.7,3606.48,2364.2,5970.68
306,7.6,1,2,陕西汉中客车有限公司二车间,1502.7,3606.48,2364.2,5970.68
307,7.6,1,2,陕西汉中客车有限公司二车间,1502.7,3606.48,2364.2,5970.68
308,7.6,1,2,西安市沣东新城北皂河村丰产路西段61区-库,1300.82,3121.97,2364.2,5486.17
309,7.6,1,1,北京市大兴区大兴经济开发区广平大街,1093.58,2624.59,1182.1,3806.69
310,7.6,1,1,北京市大兴区大兴经济开发区广平大街,1093.58,2624.59,1182.1,3806.69
311,7.6,1,1,北京市大兴区大兴经济开发区广平大街,1093.58,2624.59,1182.1,3806.69
312,7.6,1,1,北京市顺义区机场北街1院6幢（航港物流园区B1仓库）,1112.14,2669.14,1182.1,3851.24
313,7.6,1,1,北京市顺义区机场北街1院6幢（航港物流园区B1仓库）,1112.14,2669.14,1182.1,3851.24
314,7.6,1,1,北京市顺义区机场北街1院6幢（航港物流园区B1仓库）,1112.14,2669.14,1182.1,3851.24
315,7.6,1,1,北京市顺义区机场北街1院6幢（航港物流园区B1仓库）,1112.14,2669.14,1182.1,3851.24
316,7.6,1,1,北京市顺义区机场北街1院6幢（航港物流园区B1仓库）,1112.14,2669.14,1182.1,3851.24
317,9.6,1,2,北京市北京经济技术开发区康定街,1080.0,3240.0,2365.49,5605.49
318,9.6,1,2,北京市北京经济技术开发区康定街,1080.0,3240.0,2365.49,5605.49
319,7.6,2,2,太原市双塔寺街1,1208.58,2900.59,2364.2,10529.59
320,7.6,1,2,太原市双塔寺街1,1208.58,2900.59,2364.2,5264.79
321,7.6,2,1,正定县107国道东侧,768.24,1843.78,1182.1,6051.75
322,7.6,1,1,正定县107国道东侧,768.24,1843.78,1182.1,3025.88
323,7.6,1,1,正定县107国道东侧,768.24,1843.78,1182.1,3025.88
324,7.6,1,1,正定县107国道东侧,768.24,1843.78,1182.1,3025.88
325,7.6,1,1,廊坊市开发区全兴路2,1040.78,2497.87,1182.1,3679.97
326,7.6,1,1,廊坊市开发区全兴路2,1040.78,2497.87,1182.1,3679.97
327,7.6,1,1,天津市南开区罗平道1,970.39,2328.94,1182.1,3511.04
328,7.6,1,1,北京市西城区广外马连道东街1,1102.15,2645.16,1182.1,3827.26
329,7.6,1,1,北京市西城区广外马连道东街1,1102.15,2645.16,1182.1,3827.26
330,7.6,1,1,西安市经济技术开发区凤城七路中段8陕西省商业储存总公司B区西库,1292.59,3102.22,1182.1,4284.32
331,7.6,1,1,西安市经济技术开发区凤城七路中段8陕西省商业储存总公司B区西库,1292.59,3102.22,1182.1,4284.32
332,7.6,1,1,郑州市经济技术开发区经南五路18,822.44,1973.86,1182.1,3155.96
333,7.6,1,1,郑州市经济技术开发区经南五路18,822.44,1973.86,1182.1,3155.96
334,7.6,1,1,郑州市经济技术开发区经南五路18,822.44,1973.86,1182.1,3155.96
335,7.6,1,1,江西省南昌市南莲路46,782.65,1878.36,1182.1,3060.46
336,7.6,1,1,江西省南昌市南莲路46,782.65,1878.36,1182.1,3060.46
337,7.6,1,1,江西省南昌市南莲路46,782.65,1878.36,1182.1,3060.46
338,7.6,1,1,济南市市中区党家街道办事处罗而村东北150米处,739.35,1774.44,1182.1,2956.54
339,7.6,1,1,济南市市中区党家街道办事处罗而村东北150米处,739.35,1774.44,1182.1,2956.54
340,7.6,1,1,济南市市中区党家街道办事处罗而村东北150米处,739.35,1774.44,1182.1,2956.54
341,7.6,2,1,南京市江宁区秣陵街道将军大道132幢、3幢,244.95,587.88,1182.1,3539.96
342,7.6,1,1,南京市江宁区秣陵街道将军大道132幢、3幢,244.95,587.88,1182.1,1769.98
343,7.6,1,1,南京市江宁区秣陵街道将军大道132幢、3幢,244.95,587.88,1182.1,1769.98
344,7.6,2,1,杭州市拱墅区康乐路,235.41,564.98,1182.1,3494.17
345,7.6,1,1,杭州市拱墅区康乐路,235.41,564.98,1182.1,1747.08
346,7.6,2,1,北京市石景山区双峪路4（爱玛裕物流工业园）（委托储存配送）,1126.2,2702.88,1182.1,7769.96
347,7.6,1,1,北京市石景山区双峪路4（爱玛裕物流工业园）（委托储存配送）,1126.2,2702.88,1182.1,3884.98
348,7.6,1,1,烟台市芝罘区机场路32,781.47,1875.53,1182.1,3057.63
349,7.6,1,1,烟台市芝罘区机场路32,781.47,1875.53,1182.1,3057.63
350,7.6,1,1,烟台市芝罘区机场路32,781.47,1875.53,1182.1,3057.63
351,7.6,1,1,烟台市芝罘区机场路32,781.47,1875.53,1182.1,3057.63
352,7.6,1,1,烟台市芝罘区机场路32,781.47,1875.53,1182.1,3057.63
353,7.6,1,1,无锡市工艺路4,101.54,243.7,1182.1,1425.8
354,7.6,1,1,南京市江宁区开源路28,232.49,557.98,1182.1,1740.08
355,7.6,1,1,南京市江宁区开源路28,232.49,557.98,1182.1,1740.08
356,7.6,1,1,宁波市江北区金山路36,277.0,664.8,1182.1,1846.9
357,7.6,1,1,宁波市江北区金山路36,277.0,664.8,1182.1,1846.9
358,7.6,1,2,沈阳市苏家屯区雪莲街158-,1310.73,3145.75,2364.2,5509.95
359,7.6,1,2,沈阳市苏家屯区雪莲街158-,1310.73,3145.75,2364.2,5509.95
360,7.6,1,2,沈阳市苏家屯区雪莲街158-,1310.73,3145.75,2364.2,5509.95
361,9.6,1,3,沈阳市浑南区祝科街4C库单元,1337.96,4013.88,3548.24,7562.12
362,7.6,2,3,沈阳市浑南区祝科街4C库单元,1337.96,3211.1,3546.3,13514.81
363,7.6,1,3,沈阳市浑南区祝科街4C库单元,1337.96,3211.1,3546.3,6757.41
364,7.6,1,3,沈阳市浑南区祝科街4C库单元,1337.96,3211.1,3546.3,6757.41
365,7.6,1,3,沈阳市浑南区祝科街4C库单元,1337.96,3211.1,3546.3,6757.41
366,7.6,1,3,沈阳市浑南区祝科街4C库单元,1337.96,3211.1,3546.3,6757.41
367,7.6,1,3,沈阳市浑南区祝科街4C库单元,1337.96,3211.1,3546.3,6757.41
368,7.6,2,1,正定县107国道东侧,768.24,1843.78,1182.1,6051.75
369,7.6,1,1,正定县107国道东侧,768.24,1843.78,1182.1,3025.88
